Date,Open,High,Low,Close,Volume
9/15/21,4486.870117,4438.370117,4447.490234,4480.700195,3154760000
9/16/21,4485.870117,4443.799805,4477.089844,4473.75,3321030000
9/17/21,4471.52002,4427.759766,4469.740234,4432.990234,5622210000
9/20/21,4402.950195,4305.910156,4402.950195,4357.72998,3773680000
9/21/21,4394.870117,4347.959961,4374.450195,4354.189941,3044300000
9/22/21,4416.75,4367.430176,4367.430176,4395.640137,3273670000
9/23/21,4465.399902,4406.75,4406.75,4448.97998,2833290000
9/24/21,4463.120117,4430.27002,4438.040039,4455.47998,2772090000
9/27/21,4457.299805,4436.189941,4442.120117,4443.109863,3032870000
9/28/21,4419.540039,4346.330078,4419.540039,4352.629883,3495970000
9/29/21,4385.569824,4355.080078,4362.410156,4359.459961,2753800000
9/30/21,4382.549805,4306.240234,4370.669922,4307.540039,3123770000
10/1/21,4375.189941,4288.52002,4317.160156,4357.040039,3148980000
10/4/21,4355.509766,4278.939941,4348.839844,4300.459961,3110560000
10/5/21,4369.22998,4309.870117,4309.870117,4345.720215,2967400000
10/6/21,4365.569824,4290.490234,4319.569824,4363.549805,3219590000
10/7/21,4429.970215,4383.72998,4383.72998,4399.759766,3096080000
10/8/21,4412.02002,4386.220215,4406.509766,4391.339844,2401890000
10/11/21,4415.879883,4360.589844,4385.439941,4361.189941,2580000000
10/12/21,4374.890137,4342.089844,4368.310059,4350.649902,2608150000
10/13/21,4372.870117,4329.919922,4358.009766,4363.799805,2926460000
10/14/21,4439.72998,4386.75,4386.75,4438.259766,2642920000
10/15/21,4475.819824,4447.689941,4447.689941,4471.370117,3000560000
10/18/21,4488.75,4447.470215,4463.720215,4486.459961,2683540000
10/19/21,4520.399902,4496.410156,4497.339844,4519.629883,2531210000
10/20/21,4540.870117,4524.399902,4524.419922,4536.189941,2671560000
10/21/21,4551.439941,4526.890137,4532.240234,4549.779785,3016950000
10/22/21,4559.669922,4524,4546.120117,4544.899902,3062810000
10/25/21,4572.620117,4537.359863,4553.689941,4566.47998,3250210000
10/26/21,4598.529785,4569.169922,4578.689941,4574.790039,2866500000
10/27/21,4584.569824,4551.660156,4580.220215,4551.680176,3259510000
10/28/21,4597.549805,4562.839844,4562.839844,4596.419922,3197560000
10/29/21,4608.080078,4567.589844,4572.870117,4605.379883,3632260000
11/1/21,4620.339844,4595.060059,4610.620117,4613.669922,2924000000
11/2/21,4635.149902,4613.339844,4613.339844,4630.649902,3309690000
11/3/21,4663.459961,4621.189941,4630.649902,4660.569824,3339440000
11/4/21,4683,4662.589844,4662.930176,4680.060059,3332940000
11/5/21,4718.5,4681.319824,4699.259766,4697.529785,3491150000
11/8/21,4714.919922,4694.390137,4701.47998,4701.700195,3465720000
11/9/21,4708.529785,4670.870117,4707.25,4685.25,3110230000
11/10/21,4684.850098,4630.859863,4670.259766,4646.709961,3581630000
11/11/21,4664.549805,4648.310059,4659.390137,4649.27002,2623140000
11/12/21,4688.470215,4650.77002,4655.240234,4682.850098,2865790000
11/15/21,4697.419922,4672.859863,4689.299805,4682.799805,2618980000
11/16/21,4714.950195,4679.419922,4679.419922,4700.899902,2838210000
11/17/21,4701.5,4684.410156,4701.5,4688.669922,3221250000
11/18/21,4708.799805,4672.779785,4700.720215,4704.540039,3335620000
11/19/21,4717.75,4694.220215,4708.439941,4697.959961,3265600000
11/22/21,4743.830078,4682.169922,4712,4682.939941,3206280000
11/23/21,4699.390137,4652.660156,4678.47998,4690.700195,3428780000
11/24/21,4702.870117,4659.890137,4675.779785,4701.459961,2464040000
11/26/21,4664.629883,4585.430176,4664.629883,4594.620117,2676740000
11/29/21,4672.950195,4625.259766,4628.75,4655.27002,3471380000
11/30/21,4646.02002,4560,4640.25,4567,4950190000
12/1/21,4652.939941,4510.27002,4602.819824,4513.040039,4078260000
12/2/21,4595.459961,4504.72998,4504.72998,4577.100098,3771510000
12/3/21,4608.029785,4495.120117,4589.490234,4538.430176,3971500000
12/6/21,4612.600098,4540.509766,4548.370117,4591.669922,3305690000
12/7/21,4694.040039,4631.970215,4631.970215,4686.75,3334320000
